question,answer
What is the fees?,Sitare University provides high quality Computer Science education to all bright students from underprivileged backgrounds free of cost.
What is the cost of education?,Sitare University provides high quality Computer Science education to all bright students from underprivileged backgrounds free of cost.
What is the curriculum?,"The curriculum at Sitare University focuses on industry oriented CS education. Our students learn Python, Math, Data Structures and English Communication in first year; Algorithms, Java, Systems, Databases/IR, and Machine Learning in second year; Frontend, Systems, and more Machine Learning in third year alongside Hands-on Projects and Problem Solving. The fourth year is to be spent in the industry. Our students get paid internships right from the first summer itself."
How are the faculty?,Sitare University has very high standards for faculty hiring. All our faculty are highly qualified and have a passion for teaching. We also have several globally renowned CS experts as our mentors. Our website contains the names and further details about all our faculty members and mentors.
How many faculty are there?,"Currently, we have more than 8 full time faculty, and several visiting faculty from top institutes of India and abroad. For further details, please visit our university website: https://sitare.org/univ/"
How many permanent faculty are there?,"Currently, we have more than 8 full time faculty, and several visiting faculty from top institutes of India and abroad. For further details, please visit our university website: https://sitare.org/univ/"
Name all the faculty name with there subjects.,"Currently, we have more than 8 full time faculty, and several visiting faculty from top institutes of India and abroad. For further details, please visit our university website: https://sitare.org/univ/"
How many visiting faculty are there?,"Currently, we have more than 8 full time faculty, and several visiting faculty from top institutes of India and abroad. For further details, please visit our university website: https://sitare.org/univ/"
Do you have faculty from abroad?,"Currently, we have more than 8 full time faculty, and several visiting faculty from top institutes of India and abroad. For further details, please visit our university website: https://sitare.org/univ/"
What are the qualifications of your faculty?,Sitare University has very high standards for faculty hiring. All our faculty are highly qualified and have a passion for teaching. We also have several globally renowned CS experts as our mentors. Our website contains the names and further details about all our faculty members and mentors. Website: https://sitare.org/univ/
How many students are there?,We currently have 221 students at Sitare University
When did the university start?,Sitare University was started in 2022.
Where is the university located?,"Our permanent campus is coming up on the Bhopal-Indore highway, and should be ready for moving in sometime in 2025. Till then we are operating from the campus of Sri Ramswaroop College of Engineering and Management in Lucknow."
When will the campus be complete?,"Our permanent campus is coming up on the Bhopal-Indore highway, and should be ready for moving in sometime in 2025. Till then we are operating from the campus of Sri Ramswaroop College of Engineering and Management in Lucknow."
When will you move to Indore?,"Our permanent campus is coming up on the Bhopal-Indore highway, and should be ready for moving in sometime in 2025. Till then we are operating from the campus of Sri Ramswaroop College of Engineering and Management in Lucknow."
When will you move to Bhopal?,"Our permanent campus is coming up on the Bhopal-Indore highway, and should be ready for moving in sometime in 2025. Till then we are operating from the campus of Sri Ramswaroop College of Engineering and Management in Lucknow."
When will you move to the permanent campus?,"Our permanent campus is coming up on the Bhopal-Indore highway, and should be ready for moving in sometime in 2025. Till then we are operating from the campus of Sri Ramswaroop College of Engineering and Management in Lucknow."
Who is the founder?,"Sitare University was founded by Dr. Amit Singhal, who was earlier Senior Vice President of Google Search."
Who started Sitare University?,"Sitare University was founded by Dr. Amit Singhal, who was earlier Senior Vice President of Google Search."
Who is funding the university?,"The university is being completely funded by its founder, Dr. Amit Singhal."
Do you have other branches apart from computer science?,We are currently only teaching Computer Science since our mission is to provide high paying jobs to bright students from underprivileged backgrounds.
Do you teach Data Science?,"We have a high focus on courses related to Data Science, Machine Learning and Artificial Intelligence!"
Do you teach Machine Learning?,"We have a high focus on courses related to Data Science, Machine Learning and Artificial Intelligence!"
Do you teach Artificial Intelligence?,"We have a high focus on courses related to Data Science, Machine Learning and Artificial Intelligence!"
Do you have hostel facilities?,We have very good hostel facilities on campus.
Which university will give the degree?,"We are in the process of getting the approvals. Till then, the degree will be given by Sri Ramswaroop Memorial University, Lucknow."
Are you following UGC norms?,We are following all the norms of UGC and other relevant government agencies.
How are your placements?,"Our first batch is now in third year, and so it will take one more year for us to provide placement information. But given the large network of startups that we have, placements will not be a problem for any student."
Do you help in getting internships?,Our students get internships from the first year itself through our vast network of startups.
Do you teach robotics?,We are focussed on computer software education as of now.
Do you have any special classes for weak students?,We have TAs who take special sessions for weak sessions to ensure that they do not lag behind the rest of the class.
Are your classes offline or online?,Most of our classes are offline. But a few classes may be online in case the faculty is located outside India or if the faculty is unable to travel to Lucknow.
How many seats are there?,"In 2024, we are planning to admit around 150 students."
How many students are you planning to admit?,"In 2024, we are planning to admit around 150 students."
Is your teaching in English or Hindi?,"We are an English medium university, but we understand that many of our students come from Hindi medium background. So to help such students, the teachers can decide to talk in both English and Hindi."
Do you help in improving communication skills?,We have a huge focus on improving communication skills and a large part of your first year will be spent in learning English and communication skills.
Do you help in improving English language skills?,We have a huge focus on improving communication skills and a large part of your first year will be spent in learning English and communication skills.
What is your mission?,"To ensure that the brightest underprivileged minds in India get an opportunity to study Computer Science, and become the world’s best Computer Scientists."
Do you have any sports and games?,"We actively encourage our students to play some sports and games on a regular basis since it keeps the mind fresh and the body healthy. We have very good facilities for many different sports including cricket, football, basketball, etc. We also have several student clubs for various activities like music, startups, etc."
Do you have any student clubs?,"We actively encourage our students to play some sports and games on a regular basis since it keeps the mind fresh and the body healthy. We have very good facilities for many different sports including cricket, football, basketball, etc. We also have several student clubs for various activities like music, startups, etc."
Do you have a library?,We have a very good library well equipped with both academic and non-academic books.
How is the food?,Our mess provides hygeinic food of very good quality.
What kind of sports facilities do you have?,"We actively encourage our students to play some sports and games on a regular basis since it keeps the mind fresh and the body healthy. We have very good facilities for many different sports including cricket, football, basketball, etc. We also have several student clubs for various activities like music, startups, etc."
What is the admission process?,"You need to submit your application through our portal. After that, we will review all the received applications and inform you about the final decision."
Whom can I contact if I have any further queries?,"For any questions, please contact us at university@sitare.org or by WhatsApp at 78499 10085."
When is the new semester going to start?,"The Fall 2024 semester will tentatively start around August 20, 2024 (Tuesday)."
Is there any application fee?,There is no application fee.
How is Sitare University better than other colleges?,"Sitare University has an industry focussed curriculum, provides individual attention to all students, takes full responsibility for student placements, and is completely free of cost."
How is Sitare University better than other IITs?,"Sitare University has an industry focussed curriculum, provides individual attention to all students, takes full responsibility for student placements, and is completely free of cost."
How is Sitare University better than other NITs?,"Sitare University has an industry focussed curriculum, provides individual attention to all students, takes full responsibility for student placements, and is completely free of cost."
I got admission at IIT and also Sitare Unviersity. Which one should I choose?,"We strongly believe that Sitare University is currently the best place to study Computer Science in India. Sitare University has an industry focussed curriculum, provides individual attention to all students, takes full responsibility for student placements, and is completely free of cost."
I got admission at NIT and also Sitare Unviersity. Which one should I choose?,"We strongly believe that Sitare University is currently the best place to study Computer Science in India. Sitare University has an industry focussed curriculum, provides individual attention to all students, takes full responsibility for student placements, and is completely free of cost."
I got admission a private institute and also Sitare Unviersity. Which one should I choose?,"We strongly believe that Sitare University is currently the best place to study Computer Science in India. Sitare University has an industry focussed curriculum, provides individual attention to all students, takes full responsibility for student placements, and is completely free of cost."
I got admission at a government institute and also Sitare Unviersity. Which one should I choose?,"We strongly believe that Sitare University is currently the best place to study Computer Science in India. Sitare University has an industry focussed curriculum, provides individual attention to all students, takes full responsibility for student placements, and is completely free of cost."
What is Sitare University?,"Sitare University is a unique initiative in the world which aims to provide high quality Computer Science education completely free of cost to bright students from underprivileged backgrounds. There is not a single penny charged from the students for food or accommodation or studies. All this without compromising on the quality of education. In fact, we can proudly say that the quality of our faculty and teaching is already much better than most private universities and several of the new IITs. It was started in 2022 by Dr. Amit Singhal, who was earlier Senior Vice President at Google."
Who is the Vice Chancellor?,"Sitare University is run by its founder, Dr. Amit Singhal, and our founding Dean, Dr. Anuja Agarwal. For more details about their background, please visit our website: https://sitare.org/univ/"
Who is the Dean?,"Sitare University is run by its founder, Dr. Amit Singhal, and our founding Dean, Dr. Anuja Agarwal. For more details about their background, please visit our website: https://sitare.org/univ/"
Who is the Principal?,"Sitare University is run by its founder, Dr. Amit Singhal, and our founding Dean, Dr. Anuja Agarwal. For more details about their background, please visit our website: https://sitare.org/univ/"
How many departments are there?,"We currently have only 1 department, which is Computer Science."
What is the minimum jee main percentile needed to get into sitare University?,"There is no such strict cutoff, but we generally prefer hiring students who have scored at least 90 percentile in JEE mains. We do not look in the JEE advanced scores."
What is the chance of selection in sitare University?,"You need to write IIT JEE mains to get admission at Sitare University. There is no strict cutoff of the marks obtained, but we generally prefer hiring students who have scored at least 90 percentile in JEE mains. We do not look in the JEE advanced scores."
Is it necessary to write IIT JEE?,You need to qualify in IIT JEE mains to get admission at Sitare University.
Is it necessary to write JEE?,You need to qualify in IIT JEE mains to get admission at Sitare University.
Which subject is more focused upon?,We are completely focussed on Computer Science.
What is the perspective about computer science?,"Education at Sitare University is completely focussed on Computer Science, since our mission is to train students from underprivileged backgrounds to get high paying jobs. Computer Science has now become an integral part of every other domain, be it engineering or management."
What is the criteria to get admission in sitare university?,"You need to write IIT JEE mains to get admission at Sitare University. There is no strict cutoff of the marks obtained, but we generally prefer hiring students who have scored at least 90 percentile in JEE mains. We do not look in the JEE advanced scores. In addition, to get scholarship, your annual family income should be below INR 3 lakhs."
What is the duration of course?,"The BTech program at Sitare University is for four years. However, the final year is completely meant for industrial training in a company."
Do you have internship in your course?,Our students get internships from the first year itself through our vast network of startups.
What courses are offered by Sitare University?,"The curriculum at Sitare University focuses on industry oriented CS education. Our students learn Python, Math, Data Structures and English Communication in first year; Algorithms, Java, Systems, Databases/IR, and Machine Learning in second year; Frontend, Systems, and more Machine Learning in third year alongside Hands-on Projects and Problem Solving. The fourth year is to be spent in the industry. Our students get paid internships right from the first summer itself."
Sitare University website,Here is our University Website: https://sitare.org/univ/
Give me your university website,Here is our University Website: https://sitare.org/univ/
Who are the visiting faculties?,Please visit our University website for this information: https://sitare.org/univ/
How many students are currently studying?,"Currently, we have 221 students at Sitare University."
What is the criteria to get scholarship in sitare university?,"You need to write IIT JEE mains to get admission at Sitare University. There is no strict cutoff of the marks obtained, but we generally prefer hiring students who have scored at least 90 percentile in JEE mains. We do not look in the JEE advanced scores. In addition, to get scholarship, your annual family income should be below INR 3 lakhs."
Does Sitare University provide scholarship?,Sitare University provides scholarship to all deserving students whose annual family income is below INR 3 lakhs.
Can we get scholarship?,Sitare University provides scholarship to all deserving students whose annual family income is below INR 3 lakhs.
What if my annual family income is above 3 lakhs?,You may be considered for admission and partial scholarship at Sitare University. Please submit your application form on the admission portal and we will get back to you after analysing your details.
What areas in computer Science are focused at?,"Sitare University focusses on all application oriented areas of Computer Science like Data Structures, Algorithms, Data Science, Machine Learning, Deep Learning, Artificial Intelligence, Database Management Systems, Computer Networks, etc"
